,Fuel Type Code,Station Name_x,Street Address,City,State,ZIP,Status Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network_x,Geocode Status,Latitude,Longitude,ID,EV Connector Types,Country,Access Code,Access Detail Code,Federal Agency Code,Facility Type,EV Pricing,REDC,County,Station Name_y,Level 2 Ports,Level 2 Locations,DCFC Ports,DCFC Locations,EV Network_y
2297,ELEC,MIDDLE COUNTRY EMPLOYEE PARKIN,101 Eastwood Blvd,Centereach,NY,11720,E,Mon 8:00am - 9:00pm; Tue 8:00am - 9:00pm; Wed 8:00am - 9:00pm; Thu 8:00am - 9:00pm; Fri 8:00am - 9:00pm; Sat 8:00am - 5:00pm; Sun 12:00pm - 5:00pm,,2,,,ChargePoint Network,GPS,40.865108,-73.080398,182818,J1772,US,public,,,,,Long Island,Suffolk County,MIDDLE COUNTRY EMPLOYEE PARKIN,2,1,,,ChargePoint Network
2304,ELEC,SCHD DCFAST HOG,4020 Sunrise Hwy,Oakdale,NY,11769,E,Mon 9:00am - 5:00pm; Tue 9:00am - 6:00pm; Wed 9:00am - 6:00pm; Thu 9:00am - 6:00pm; Fri 9:00am - 8:00pm; Sat 9:00am - 5:00pm,,,1,,ChargePoint Network,GPS,40.748166,-73.139644,183103,J1772COMBO,US,public,,,,,Long Island,Suffolk County,SCHD DCFAST HOG,,,1,1,ChargePoint Network
2316,ELEC,LEVITON MELVILLE 1,201 N Service Rd,Melville,NY,11747,E,24 hours daily,,2,,,ChargePoint Network,GPS,40.783554,-73.419929,183197,J1772,US,public,,,,,Long Island,Suffolk County,LEVITON MELVILLE 1,2,1,,,ChargePoint Network
2322,ELEC,LEVITON MELVILLE 2,201 N Service Rd,Melville,NY,11747,E,24 hours daily,,2,,,ChargePoint Network,GPS,40.783577,-73.419876,183328,J1772,US,public,,,,,Long Island,Suffolk County,LEVITON MELVILLE 2,2,1,,,ChargePoint Network
2349,ELEC,Town of Brookhaven,1 Independence Hill,Farmingville,NY,11738,E,"24 hours daily; also accepts PayPal, Apple Pay",,2,,,EV Connect,200-9,40.843624,-73.015579,184036,J1772,US,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,,Long Island,Suffolk County,Town of Brookhaven,2,1,,,EV Connect
2352,ELEC,BNL ISB,Pennsylvania St,Upton,NY,11961,E,24 hours daily,,1,,,Non-Networked,GPS,40.869342,-72.879755,184331,J1772,US,public,,DOE,FED_GOV,$4.39 per week,Long Island,Suffolk County,BNL ISB,1,1,,,Non-Networked
2353,ELEC,BNL NSLS-II LOB-4,Loop Rd,Upton,NY,11961,E,24 hours daily,,2,,,Non-Networked,GPS,40.862723,-72.872473,184440,J1772,US,public,CREDIT_CARD_ALWAYS,DOE,FED_GOV,,Long Island,Suffolk County,BNL NSLS-II LOB-4,2,1,,,Non-Networked
2354,ELEC,BNL Chemistry- MPO,Lewis Rd,Upton,NY,11961,E,24 hours daily,,2,,,Non-Networked,GPS,40.869407,-72.882671,184441,J1772,US,public,CREDIT_CARD_ALWAYS,DOE,FED_GOV,,Long Island,Suffolk County,BNL Chemistry- MPO,2,1,,,Non-Networked
2360,ELEC,TOB CHARGERS EV STATION 1,1 Independence Hill,Farmingville,NY,11738,E,24 hours daily,,2,,,ChargePoint Network,GPS,40.845511,-73.015725,185143,J1772,US,public,,,,,Long Island,Suffolk County,TOB CHARGERS EV STATION 1,2,1,,,ChargePoint Network
2361,ELEC,TOB CHARGERS EV STATION 2,1 Independence Hill,Farmingville,NY,11738,E,24 hours daily,,2,,,ChargePoint Network,GPS,40.845462,-73.015757,185144,J1772,US,public,,,,,Long Island,Suffolk County,TOB CHARGERS EV STATION 2,2,1,,,ChargePoint Network
301,ELEC,"Inn at Lake Joseph, a Select Registry Property - Tesla Destination",162 Saint Josephs Rd,Forestburgh,NY,12777,E,24 hours daily,,1,,,Tesla Destination,200-9,41.589244,-74.713261,114941,TESLA,US,public,CALL,,INN,Free,Mid-Hudson,Sullivan County,"Inn at Lake Joseph, a Select Registry Property - Tesla Destination",1,1,,,Tesla Destination
623,ELEC,Roscoe Diner - Tesla Supercharger,1908 Old Route 17,Roscoe,NY,12776,E,24 hours daily; for Tesla use only,,,8,,Tesla,GPS,41.9305,-74.9088,118946,TESLA,US,public,,,RESTAURANT,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Mid-Hudson,Sullivan County,Roscoe Diner - Tesla Supercharger,,,8,1,Tesla
880,ELEC,SULLIVAN COUNTY SULLIVAN 2,14 Sturgis Rd,Monticello,NY,12701,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.65952,-74.6908,145532,J1772,US,public,,,,,Mid-Hudson,Sullivan County,SULLIVAN COUNTY SULLIVAN 2,2,1,,,ChargePoint Network
1013,ELEC,The Kartrite Resort & Indoor Waterpark - Tesla Destination,555 Resorts World Dr,Monticello,NY,12701,E,24 hours daily; for customer use only; see front desk for access,,2,,,Tesla Destination,200-9,41.661828,-74.644777,150611,TESLA,US,public,,,,Free,Mid-Hudson,Sullivan County,The Kartrite Resort & Indoor Waterpark - Tesla Destination,2,1,,,Tesla Destination
1388,ELEC,STATION PC VILLA ROMA,219-249 Villa Roma Rd,Callicoon,NY,12723,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.760472,-74.974674,162305,J1772,US,public,,,,,Mid-Hudson,Sullivan County,STATION PC VILLA ROMA,2,1,,,ChargePoint Network
1392,ELEC,SULLIVAN CENTER ROCK HILL,270-277 Rock Hill Dr,Rock Hill,NY,12775,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.623169,-74.590722,162309,J1772,US,public,,,,,Mid-Hudson,Sullivan County,SULLIVAN CENTER ROCK HILL,2,1,,,ChargePoint Network
1407,ELEC,BETHEL BETHEL,3586 State Rte 55,Kauneonga Lake,NY,12749,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.685982,-74.830789,162325,J1772,US,public,,,,,Mid-Hudson,Sullivan County,BETHEL BETHEL,2,1,,,ChargePoint Network
1414,ELEC,ELECTRIC CAT CATSKILL DISTIL,2037 Nys Hwy 17b,Bethel,NY,12720,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.684274,-74.877327,162332,J1772,US,public,,,,,Mid-Hudson,Sullivan County,ELECTRIC CAT CATSKILL DISTIL,2,1,,,ChargePoint Network
1428,ELEC,STATE ROUTE 42 THOMPSON TOWN H,4052 NY-42 Town Hall,Monticello,NY,12701,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.668821,-74.672147,162346,J1772,US,public,,,,,Mid-Hudson,Sullivan County,STATE ROUTE 42 THOMPSON TOWN H,2,1,,,ChargePoint Network
1765,ELEC,Monticello Motor Club - Tesla Destination,67 Cantrell Rd,Monticello,NY,12701,E,24 hours daily; for customer use only; see front desk for access,,2,,,Tesla Destination,200-9,41.617641,-74.702993,168974,TESLA,US,public,,,,Free,Mid-Hudson,Sullivan County,Monticello Motor Club - Tesla Destination,2,1,,,Tesla Destination
1959,ELEC,SULLIVAN COUNTY SULLIVAN 1,14 Sturgis Rd,Monticello,NY,12701,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.65958,-74.69082,174492,J1772,US,public,,,,,Mid-Hudson,Sullivan County,SULLIVAN COUNTY SULLIVAN 1,2,1,,,ChargePoint Network
1194,ELEC,Blauvelt Funeral Home,625 Broad St,Waverly,NY,14892,E,24 hours daily,,4,,,EV Connect,GPS,42.003208,-76.524565,157948,J1772,US,public,,,OTHER,,Southern Tier,Tioga County,Blauvelt Funeral Home,4,1,,,EV Connect
1434,ELEC,TIOGA HOTEL CASINO 1,NY-17,Nichols,NY,13812,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.024208,-76.41078,162353,J1772,US,public,,,,,Southern Tier,Tioga County,TIOGA HOTEL CASINO 1,2,1,,,ChargePoint Network
2123,ELEC,TIOGA HOTEL CASINO 2,NY-17,Nichols,NY,13812,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.024254,-76.41074,180147,J1772,US,public,,,,,Southern Tier,Tioga County,TIOGA HOTEL CASINO 2,2,1,,,ChargePoint Network
30,ELEC,Maguire Nissan,504 S Meadow St,Ithaca,NY,14850,E,Dealership business hours,,1,,,Non-Networked,200-9,42.435042,-76.5088,44338,J1772,US,public,CALL,,CAR_DEALER,Free,Southern Tier,Tompkins County,Maguire Nissan,1,1,,,Non-Networked
190,ELEC,CORNELL FOREST HOME 3,37 Forest Home Dr,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.45046,-76.47865,96757,J1772,US,public,,,,,Southern Tier,Tompkins County,CORNELL FOREST HOME 3,2,1,,,ChargePoint Network
236,ELEC,Town of Danby - Town Hall,1830 Danby Rd,Danby,NY,14850,E,24 hours daily; EVConnect App or key fob required for access; see Town Hall for key fob,,2,,,EV Connect,GPS,42.354047,-76.481886,104824,J1772,US,public,,,MUNI_GOV,Free,Southern Tier,Tompkins County,Town of Danby - Town Hall,2,1,,,EV Connect
316,ELEC,La Tourelle Hotel & Spa - Tesla Destination,1150 Danby Rd,Ithaca,NY,14850,E,24 hours daily; for customer use only,,2,,,Tesla Destination,200-9,42.401806,-76.502908,114957,J1772 TESLA,US,public,CALL,,HOTEL,Free,Southern Tier,Tompkins County,La Tourelle Hotel & Spa - Tesla Destination,2,1,,,Tesla Destination
317,ELEC,Hilton Garden Inn - Downtown Ithaca - Tesla Destination,130 E Seneca St,Ithaca,NY,14850,E,24 hours daily; for customer use only,,2,,,Tesla Destination,200-9,42.440673,-76.497375,114958,TESLA,US,public,CALL,,HOTEL,Free,Southern Tier,Tompkins County,Hilton Garden Inn - Downtown Ithaca - Tesla Destination,2,1,,,Tesla Destination
318,ELEC,William Henry Miller Inn - Tesla Destination,303 N Aurora St,Ithaca,NY,14850,E,24 hours daily; for customer use only,,1,,,Tesla Destination,200-9,42.441724,-76.495362,114959,TESLA,US,public,,,INN,Free,Southern Tier,Tompkins County,William Henry Miller Inn - Tesla Destination,1,1,,,Tesla Destination
614,ELEC,Maguire Chevrolet,35 Cinema Dr,Ithaca,NY,14850,E,Dealership business hours,,2,1,,Non-Networked,GPS,42.480929,-76.477605,117739,J1772 J1772COMBO,US,public,CALL,,CAR_DEALER,Free,Southern Tier,Tompkins County,Maguire Chevrolet,2,1,1,1,Non-Networked
714,ELEC,Town of Danby - Clerk's Office,1830 Danby Rd,Ithaca,NY,14850,E,24 hours daily,,1,,,EV Connect,GPS,42.3539913,-76.4819962,123074,J1772,US,public,,,MUNI_GOV,,Southern Tier,Tompkins County,Town of Danby - Clerk's Office,1,1,,,EV Connect
765,ELEC,Allan H. Treman State Marine Park,805 Taughannock Blvd,Ithaca,NY,14850,E,24 hours daily,,2,,,EV Connect,GPS,42.4582615,-76.5200919,123135,J1772,US,public,,,PARK,,Southern Tier,Tompkins County,Allan H. Treman State Marine Park,2,1,,,EV Connect
767,ELEC,Cayuga Heights Village Court,836 Hanshaw Rd,Ithaca,NY,14850,E,24 hours daily,,1,,,EV Connect,GPS,42.46947196,-76.4788705,123137,J1772,US,public,,,MUNI_GOV,,Southern Tier,Tompkins County,Cayuga Heights Village Court,1,1,,,EV Connect
803,ELEC,CORNELL HOY GARAGE 1,176 Hoy Rd,Ithaca,NY,14853,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.44345,-76.47946,123654,J1772,US,public,,,,,Southern Tier,Tompkins County,CORNELL HOY GARAGE 1,2,1,,,ChargePoint Network
942,ELEC,South Meadow Marketplace - Tesla Supercharger,740 South Meadow Street,Ithaca,NY,14850,E,24 hours daily; for Tesla use only,,,8,,Tesla,200-9,42.4286,-76.5091,149318,TESLA,US,public,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Southern Tier,Tompkins County,South Meadow Marketplace - Tesla Supercharger,,,8,1,Tesla
1210,ELEC,Maguire Family of Dealerships,370 Elmira Rd,Ithaca,NY,14850,E,24 hours daily,,1,2,,Non-Networked,GPS,42.422535,-76.518884,157971,J1772 J1772COMBO,US,public,,,CAR_DEALER,,Southern Tier,Tompkins County,Maguire Family of Dealerships,1,1,2,1,Non-Networked
1273,ELEC,CORNELL STATLER 2,343 Campus Rd,Ithaca,NY,14853,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.44552,-76.481083,162185,J1772,US,public,,,,,Southern Tier,Tompkins County,CORNELL STATLER 2,2,1,,,ChargePoint Network
1313,ELEC,NORTH WOOD STATION 1,700 Warren Rd,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.486806,-76.470601,162227,J1772,US,public,,,,,Southern Tier,Tompkins County,NORTH WOOD STATION 1,2,1,,,ChargePoint Network
1349,ELEC,ITHACA VISITORS COLLEGE CIRCLE,College Cir,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.411718,-76.500837,162263,J1772,US,public,,,,,Southern Tier,Tompkins County,ITHACA VISITORS COLLEGE CIRCLE,2,1,,,ChargePoint Network
1373,ELEC,HOLT1 HOLT,671-699 W State St,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.439069,-76.510104,162290,J1772,US,public,,,,,Southern Tier,Tompkins County,HOLT1 HOLT,2,1,,,ChargePoint Network
1379,ELEC,CITY OF ITHACA DRYDEN,118 Dryden Rd,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.442142,-76.486112,162296,J1772,US,public,,,,,Southern Tier,Tompkins County,CITY OF ITHACA DRYDEN,2,1,,,ChargePoint Network
1387,ELEC,210 HANCOCK STATION 1,423 1st St,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.448275,-76.503354,162304,J1772,US,public,,,,,Southern Tier,Tompkins County,210 HANCOCK STATION 1,2,1,,,ChargePoint Network
1390,ELEC,CITY OF ITHACA SENECA STREET,202 NY-79,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.440667,-76.496214,162307,J1772,US,public,,,,,Southern Tier,Tompkins County,CITY OF ITHACA SENECA STREET,2,1,,,ChargePoint Network
1397,ELEC,ITHACA VISITORS ITHACA COLLEGE,Conservatory Dr,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.420935,-76.500084,162315,J1772,US,public,,,,,Southern Tier,Tompkins County,ITHACA VISITORS ITHACA COLLEGE,2,1,,,ChargePoint Network
1401,ELEC,OLD TOWN HALL CAROLINE,21-23 Midline Rd,Slaterville Springs,NY,14881,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.394245,-76.35049,162319,J1772,US,public,,,,,Southern Tier,Tompkins County,OLD TOWN HALL CAROLINE,2,1,,,ChargePoint Network
1405,ELEC,CAYUGA STATION ALL PRO GARAGE,235 S Cayuga St,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.437359,-76.498744,162323,J1772,US,public,,,,,Southern Tier,Tompkins County,CAYUGA STATION ALL PRO GARAGE,2,1,,,ChargePoint Network
1409,ELEC,ULYSSES TOWN ULYSSES,10 Elm St,Trumansburg,NY,14886,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.541251,-76.661435,162327,J1772,US,public,,,,,Southern Tier,Tompkins County,ULYSSES TOWN ULYSSES,2,1,,,ChargePoint Network
1410,ELEC,EVCHARGE BEACH LOT,Taughannock State Park Access Rd,Trumansburg,NY,14886,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.544649,-76.596445,162328,J1772,US,public,,,,,Southern Tier,Tompkins County,EVCHARGE BEACH LOT,2,1,,,ChargePoint Network
1411,ELEC,BCC BROOKTONDALE,528 Valley Rd,Brooktondale,NY,14817,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.380747,-76.393341,162329,J1772,US,public,,,,,Southern Tier,Tompkins County,BCC BROOKTONDALE,2,1,,,ChargePoint Network
1494,ELEC,MAGUIRE VW VW_408158_A,370 Elmira Rd,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.422426,-76.517437,162419,J1772,US,public,,,,,Southern Tier,Tompkins County,MAGUIRE VW VW_408158_A,2,1,,,ChargePoint Network
1557,ELEC,TAITEM NS1-CHARGEPOINT,110 S Albany St,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.438969,-76.502064,162494,J1772,US,public,,,,,Southern Tier,Tompkins County,TAITEM NS1-CHARGEPOINT,2,1,,,ChargePoint Network
1639,ELEC,DRYDEN STATION 1,93 E Main St,Dryden,NY,13053,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.49164,-76.28683,164859,J1772,US,public,,,,,Southern Tier,Tompkins County,DRYDEN STATION 1,2,1,,,ChargePoint Network
1674,ELEC,CCE TOMPKINS STATION ONE,615 Willow Ave,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.450688,-76.503433,165558,J1772,US,public,,,,,Southern Tier,Tompkins County,CCE TOMPKINS STATION ONE,2,1,,,ChargePoint Network
1689,ELEC,GreenStar Co-op,770 Cascadilla St,Ithaca,NY,14850,E,24 hours daily; Also accepts Paypal,,2,,,EV Connect,200-9,42.445432,-76.509798,166347,J1772,US,public,CREDIT_CARD_ALWAYS,,GROCERY,,Southern Tier,Tompkins County,GreenStar Co-op,2,1,,,EV Connect
1879,ELEC,CORNELL FOREST HOME 2,37 Forest Home Dr,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.450394,-76.47868,173154,J1772,US,public,,,,,Southern Tier,Tompkins County,CORNELL FOREST HOME 2,2,1,,,ChargePoint Network
1880,ELEC,CORNELL FOREST HOME 1,37 Forest Home Dr,Ithaca,NY,14850,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.450492,-76.47852,173155,J1772,US,public,,,,,Southern Tier,Tompkins County,CORNELL FOREST HOME 1,2,1,,,ChargePoint Network
2084,ELEC,CORNELL STATLER 1,343 Campus Rd,Ithaca,NY,14853,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.445529,-76.481171,180108,J1772,US,public,,,,,Southern Tier,Tompkins County,CORNELL STATLER 1,2,1,,,ChargePoint Network
2294,ELEC,SCIENCENTER SCIENCENTER,601 1st St,Ithaca,NY,14850,E,Mon 7:00am - 6:00pm; Tue 7:00am - 6:00pm; Wed 7:00am - 6:00pm; Thu 7:00am - 6:00pm; Fri 7:00am - 6:00pm; Sat 7:00am - 6:00pm; Sun 7:00am - 6:00pm,,2,,,ChargePoint Network,GPS,42.449965,-76.504087,182683,J1772,US,public,,,,,Southern Tier,Tompkins County,SCIENCENTER SCIENCENTER,2,1,,,ChargePoint Network
36,ELEC,Kingston Nissan,140 Route 28,Kingston,NY,12401,E,Dealership business hours,,1,1,,Non-Networked,GPS,41.948965,-74.032033,44352,CHADEMO J1772,US,public,CALL,,CAR_DEALER,Free,Mid-Hudson,Ulster County,Kingston Nissan,1,1,1,1,Non-Networked
118,ELEC,Romeo Chevrolet,1665 Ulster Ave,Lake Katrine,NY,12449,E,24 hours daily,,2,1,,Non-Networked,200-9,41.980335,-73.990256,85682,J1772 J1772COMBO,US,public,,,CAR_DEALER,Free,Mid-Hudson,Ulster County,Romeo Chevrolet,2,1,1,1,Non-Networked
124,ELEC,Marbletown Community Center,3562 Main St,Stone Ridge,NY,12484,E,24 hours daily,,2,,,Non-Networked,GPS,41.852574,-74.139946,86200,J1772,US,public,,,MUNI_GOV,Free,Mid-Hudson,Ulster County,Marbletown Community Center,2,1,,,Non-Networked
205,ELEC,QuickChek - Tesla Supercharger,640 Washington Ave.,Kingston,NY,12401,E,24 hours daily; for Tesla use only,,,8,,Tesla,200-9,41.9419,-74.0274,102331,TESLA,US,public,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Mid-Hudson,Ulster County,QuickChek - Tesla Supercharger,,,8,1,Tesla
303,ELEC,Tuthilltown Spirits - Tesla Destination,14 Gristmill Ln,Gardiner,NY,12525,E,24 hours daily,,3,,,Tesla Destination,200-9,41.687197,-74.175388,114944,J1772 TESLA,US,public,,,BREWERY_DISTILLERY_WINERY,Free,Mid-Hudson,Ulster County,Tuthilltown Spirits - Tesla Destination,3,1,,,Tesla Destination
308,ELEC,Hudson Valley Rail Trail Depot - Tesla Destination,101 New Paltz Rd,Highland,NY,12528,E,24 hours daily,,4,,,Tesla Destination,200-9,41.733972,-73.974846,114949,J1772 TESLA,US,public,,,OTHER_ENTERTAINMENT,Free,Mid-Hudson,Ulster County,Hudson Valley Rail Trail Depot - Tesla Destination,4,1,,,Tesla Destination
309,ELEC,Town of Lloyd Municipal Parking Lot - Tesla Destination,39 Main St,Highland,NY,12528,E,24 hours daily,,4,,,Tesla Destination,200-8,41.720133,-73.964807,114950,J1772 TESLA,US,public,,,MUNI_GOV,Free,Mid-Hudson,Ulster County,Town of Lloyd Municipal Parking Lot - Tesla Destination,4,1,,,Tesla Destination
320,ELEC,Hampton Inn by Hilton Kingston - Tesla Destination,1307 Ulster Ave,Kingston,NY,12401,E,24 hours daily; for customer use only,,6,,,Tesla Destination,200-8,41.970001,-73.989083,114961,J1772 TESLA,US,public,CALL,,HOTEL,Free,Mid-Hudson,Ulster County,Hampton Inn by Hilton Kingston - Tesla Destination,6,1,,,Tesla Destination
321,ELEC,Courtyard by Marriott Kingston - Tesla Destination,500 Frank Sottile Blvd,Kingston,NY,12401,E,24 hours daily; for customer use only; see front desk for access,,3,,,Tesla Destination,200-9,41.970145,-73.985923,114962,J1772 TESLA,US,public,,,HOTEL,Free,Mid-Hudson,Ulster County,Courtyard by Marriott Kingston - Tesla Destination,3,1,,,Tesla Destination
335,ELEC,Buttermilk Falls Inn & Spa - Tesla Destination,220 North Rd,Milton,NY,12547,E,24 hours daily; for customer use only,,3,,,Tesla Destination,200-9,41.666684,-73.955378,114977,J1772 TESLA,US,public,,,INN,Free,Mid-Hudson,Ulster County,Buttermilk Falls Inn & Spa - Tesla Destination,3,1,,,Tesla Destination
336,ELEC,SunPower by New York State Solar Farm - Tesla Destination,1938 Route 44/55,Modena,NY,12548,E,24 hours daily,,5,,,Tesla Destination,200-9,41.667875,-74.105849,114978,TESLA,US,public,,,OFFICE_BLDG,Free,Mid-Hudson,Ulster County,SunPower by New York State Solar Farm - Tesla Destination,5,1,,,Tesla Destination
340,ELEC,Hampton Inn New Paltz - Tesla Destination,4 S Putt Corners Rd,New Paltz,NY,12561,E,24 hours daily; for customer use only; see front desk for access,,4,,,Tesla Destination,200-9,41.740795,-74.067127,114982,J1772 TESLA,US,public,,,HOTEL,Free,Mid-Hudson,Ulster County,Hampton Inn New Paltz - Tesla Destination,4,1,,,Tesla Destination
651,ELEC,ICE RINK GRECO CENTER,207 Market St,Saugerties,NY,12477,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.084094,-73.955029,121871,J1772,US,public,,,,,Mid-Hudson,Ulster County,ICE RINK GRECO CENTER,2,1,,,ChargePoint Network
687,ELEC,SUNY NEW PALTZ WALLKILL 2,61 Southside Ave,New Paltz,NY,12561,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.741501,-74.088157,122785,J1772,US,public,,,,,Mid-Hudson,Ulster County,SUNY NEW PALTZ WALLKILL 2,2,1,,,ChargePoint Network
688,ELEC,SUNY NEW PALTZ WALLKILL 3,10 Southside Loop,New Paltz,NY,12561,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.741484,-74.088125,122786,J1772,US,public,,,,,Mid-Hudson,Ulster County,SUNY NEW PALTZ WALLKILL 3,2,1,,,ChargePoint Network
689,ELEC,SUNY NEW PALTZ STATION 1,33 Southside Ave,New Paltz,NY,12561,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.741585,-74.088317,122787,J1772,US,public,,,,,Mid-Hudson,Ulster County,SUNY NEW PALTZ STATION 1,2,1,,,ChargePoint Network
690,ELEC,SUNY NEW PALTZ INTERNATIONAL,S. Manheim Blvd.,New Paltz,NY,12561,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.741984,-74.080814,122790,J1772,US,public,,,,,Mid-Hudson,Ulster County,SUNY NEW PALTZ INTERNATIONAL,2,1,,,ChargePoint Network
691,ELEC,SUNY NEW PALTZ ROUTE 32 (3),80 NY-32,New Paltz,NY,12561,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.738571,-74.079661,122791,J1772,US,public,,,,,Mid-Hudson,Ulster County,SUNY NEW PALTZ ROUTE 32 (3),2,1,,,ChargePoint Network
692,ELEC,SUNY NEW PALTZ ROUTE 32 LOT,Campus Transportation Hub,New Paltz,NY,12561,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.738961,-74.080128,122792,J1772,US,public,,,,,Mid-Hudson,Ulster County,SUNY NEW PALTZ ROUTE 32 LOT,2,1,,,ChargePoint Network
697,ELEC,ULSTER COUNTY HALL OF RECORDS,300 Foxhall Ave,Kingston,NY,12401,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.93615,-73.997814,123018,J1772,US,public,,,,,Mid-Hudson,Ulster County,ULSTER COUNTY HALL OF RECORDS,2,1,,,ChargePoint Network
704,ELEC,Rondout Valley Central School District Office,122 Kyserike Rd,Accord,NY,12404,E,24 hours daily,,2,,,EV Connect,GPS,41.8141987,-74.1893163,123062,J1772,US,public,,,SCHOOL,,Mid-Hudson,Ulster County,Rondout Valley Central School District Office,2,1,,,EV Connect
716,ELEC,Rosendale Justice Department,1915 Lucas Ave,Cottekill,NY,12419,E,24 hours daily,,2,,,EV Connect,GPS,41.8537098,-74.1063658,123076,J1772,US,public,,,MUNI_GOV,,Mid-Hudson,Ulster County,Rosendale Justice Department,2,1,,,EV Connect
720,ELEC,Bread Alone Bakery,2121 Ulster Ave,Lake Katrine,NY,12449,E,24 hours daily,,2,,,EV Connect,GPS,41.9948597,-73.9864873,123081,J1772,US,public,,,RESTAURANT,,Mid-Hudson,Ulster County,Bread Alone Bakery,2,1,,,EV Connect
742,ELEC,Bread Alone Bakery,3962 Route 28,Boiceville,NY,12412,E,24 hours daily,,2,,,EV Connect,GPS,41.9972466,-74.2637521,123108,J1772,US,public,,,RESTAURANT,,Mid-Hudson,Ulster County,Bread Alone Bakery,2,1,,,EV Connect
749,ELEC,Selux Corp,5 Lumen Ln,Highland,NY,12528,E,24 hours daily,,7,,,EV Connect,GPS,41.739522,-73.9603623,123116,J1772,US,public,,,HARDWARE_STORE,,Mid-Hudson,Ulster County,Selux Corp,7,1,,,EV Connect
789,ELEC,ULSTER COUNTY SUNY ULSTER,491 Cottekill Rd,Stone Ridge,NY,12484,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.851332,-74.130956,123389,J1772,US,public,,,,,Mid-Hudson,Ulster County,ULSTER COUNTY SUNY ULSTER,2,1,,,ChargePoint Network
791,ELEC,SUNY NEW PALTZ STATION 2,Service building,New Paltz,NY,12561,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.736732,-74.084307,123392,J1772,US,public,,,,,Mid-Hudson,Ulster County,SUNY NEW PALTZ STATION 2,2,1,,,ChargePoint Network
848,ELEC,VANKLEECKS TIRE VANLKEECKS TIRE,1987 Ulster Ave,Lake Katrine,NY,12449,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.991154,-73.98686,143464,J1772,US,public,,,,,Mid-Hudson,Ulster County,VANKLEECKS TIRE VANLKEECKS TIRE,2,1,,,ChargePoint Network
852,ELEC,SUNFLOWER MARKET,75 Mill Hill Rd,Woodstock,NY,12498,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.039112,-74.113426,143566,J1772,US,public,,,,,Mid-Hudson,Ulster County,SUNFLOWER MARKET,2,1,,,ChargePoint Network
